system,full_evidence_at_7,support_recall_at_7,median_latency_ms,p95_latency_ms
StandardRAG_official_code,0.227,0.57975,149.19885000563227,211.96511999878567
HippoRAG_official_code,0.269,0.6050833333333334,3727.470550016733,5171.207219996721
GraphRescue_hybrid,0.229,0.5710833333333334,37.452150019817054,57.444055008818395
GraphRescue_gated_MRV,0.366,0.6433333333333334,103.32074997131713,145.91749003157017
