dataset,full_evidence_delta,gated_full_evidence,gated_graph_actions,hybrid_full_evidence,query_id,question_type,support_count,support_recall_delta
hotpot,0.0,0.0,1.0,0.0,5a721a7655429971e9dc9271,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a721b9055429971e9dc9277,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a721bbc55429971e9dc9279,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a721d5a55429971e9dc9283,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a721dfd55429971e9dc928b,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a721e0e55429971e9dc928d,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7220f055429971e9dc92ac,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72224755429971e9dc92be,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72239a55429971e9dc92cf,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7224ab55429971e9dc92dd,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7228f655429971e9dc9312,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a722c2255429971e9dc932c,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a722fae55429971e9dc9343,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a72334755429971e9dc934c,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72339855429971e9dc934d,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a72429355429971e9dc9375,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a724ba25542990c210a40c7,bridge,2,0.5
hotpot,0.0,1.0,1.0,1.0,5a724dc25542990c210a40df,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7252db5542990c210a4104,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a7261635542997f8278398a,bridge,2,0.5
hotpot,1.0,1.0,1.0,0.0,5a72634d5542997f82783994,bridge,2,0.5
hotpot,0.0,0.0,1.0,0.0,5a7263e05542997f82783998,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a72644b5542997f8278399a,bridge,2,0.5
hotpot,0.0,0.0,0.0,0.0,5a7264ed5542990c210a411a,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a7265815542990c210a411b,bridge,2,0.5
hotpot,0.0,0.0,2.0,0.0,5a7268235542992359bc3081,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72688c5542997f827839b2,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7269fa5542992359bc308d,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a726b0f5542997f827839be,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7270395542992359bc30a8,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a7271525542997f827839d0,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a727e1b5542991f9a20c497,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7280105542994cef4bc2e4,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7280925542991f9a20c4a1,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7281075542994cef4bc2e9,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a72830e5542994cef4bc2f9,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7283355542991f9a20c4b1,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7283365542991f9a20c4b2,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7286865542991f9a20c4cb,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a728b1c5542992359bc30e0,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a728dc65542992359bc30ef,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a728f015542991f9a20c4e4,bridge,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a728f3c5542992359bc30f4,bridge,2,0.5
hotpot,0.0,1.0,2.0,1.0,5a728f505542992359bc30f5,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a728f745542991f9a20c4e6,comparison,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a728fbd5542992359bc30f8,bridge,2,0.5
hotpot,0.0,1.0,2.0,1.0,5a72908f5542994cef4bc33b,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7291c35542991f9a20c4f4,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7292385542994cef4bc342,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a72944c5542994cef4bc351,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7294b65542991f9a20c509,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a72953b5542994cef4bc357,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7296815542991f9a20c515,comparison,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7299465542992359bc3131,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a729e7b5542992359bc313d,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72a0be5542992359bc3143,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72a2935542991f9a20c546,comparison,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a72a3c45542994cef4bc3ac,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72a4645542991f9a20c54c,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72a47d55429901807daf1f,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72a51355429901807daf21,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a72a5a75542992359bc314e,bridge,2,0.5
hotpot,0.0,1.0,1.0,1.0,5a72a6d855429901807daf27,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a72abb95542992359bc3162,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72ac8a5542992359bc3164,comparison,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a72af155542992359bc316c,bridge,2,0.5
hotpot,0.0,1.0,1.0,1.0,5a72b2dc5542992359bc3173,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72b3335542994cef4bc3dc,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a72b8de5542994cef4bc3df,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a72ba165542992359bc318a,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72bb045542994cef4bc3e4,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72bbfa5542992359bc318d,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a72c6f65542994cef4bc402,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a72c9e85542991f9a20c595,comparison,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a72d3525542991f9a20c5ab,bridge,2,0.5
hotpot,0.0,0.0,0.0,0.0,5a72dcb45542992359bc31af,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a72f1cf5542994cef4bc414,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a72f3a85542992359bc31e5,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a72f45a5542992359bc31e6,bridge,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a72f74a55429901807daf59,bridge,2,0.5
hotpot,1.0,1.0,2.0,0.0,5a72fc865542991f9a20c5e9,bridge,2,0.5
hotpot,0.0,0.0,1.0,0.0,5a73024f5542991f9a20c5fc,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7302b75542991f9a20c5fd,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7306a655429901807daf67,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73090455429901807daf6e,comparison,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a7309a15542992359bc320c,bridge,2,0.5
hotpot,0.0,1.0,0.0,1.0,5a730a6b5542992359bc3210,comparison,2,0.0
hotpot,-1.0,0.0,2.0,1.0,5a730abe5542994cef4bc42f,bridge,2,-0.5
hotpot,0.0,1.0,2.0,1.0,5a7312675542994cef4bc43d,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7313865542994cef4bc442,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7319bc5542992359bc3235,comparison,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a7319e755429901807daf86,bridge,2,0.5
hotpot,0.0,1.0,0.0,1.0,5a731a635542994cef4bc458,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a731c205542994cef4bc45d,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7320565542991f9a20c61d,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7320ac5542991f9a20c620,comparison,2,0.0
